City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,katsuura,35.1333,140.3,284.58,63,100,7.97,JP,1674530265
267,umea,63.8284,20.2597,269.77,86,0,2.06,SE,1674530266
268,damaturu,11.747,11.9608,292.8,16,33,3.67,NG,1674530267
269,champerico,14.3,-91.9167,298.79,74,2,2.19,GT,1674530267
270,gao,16.6362,1.637,295.59,15,2,2.55,ML,1674530268
271,labuhan,-6.8844,112.2051,302.01,71,100,1.49,ID,1674530269
272,athabasca,54.7169,-113.2854,269.75,87,97,4.53,CA,1674530107
273,bilma,18.6853,12.9164,292.37,14,0,2.5,NE,1674530270
274,diffa,13.3154,12.6113,293.17,21,64,3.22,NE,1674530271
275,severo-kurilsk,50.6789,156.125,266.02,71,89,8.94,RU,1674530271
276,castro,-24.7911,-50.0119,289.85,95,56,1.73,BR,1674530272
277,ekhabi,53.5102,142.9671,245.96,93,100,8.29,RU,1674530273
278,adrar,20.5022,-10.0711,289.64,16,0,4.18,MR,1674530273
279,agua verde,22.9,-106.05,293.2,82,92,1.45,MX,1674530274
280,belmonte,-15.8631,-38.8828,298.78,85,32,4.09,BR,1674530275
281,xining,36.6167,101.7667,263.35,19,4,0.88,CN,1674530275
282,bosanski novi,45.0458,16.3803,275.44,99,100,1.24,BA,1674530277
283,avarua,-21.2078,-159.775,301.18,69,75,0.51,CK,1674530278
284,pisek,49.3088,14.1475,274.88,96,100,1.97,CZ,1674530001
285,guane,22.2025,-84.0875,294.98,86,2,1.97,CU,1674530279
286,den helder,52.9599,4.7593,276.47,82,100,3.13,NL,1674530279
287,cuamba,-14.8031,36.5372,293.1,99,100,0.74,MZ,1674530280
288,conakry,9.538,-13.6773,298.19,83,40,2.06,GN,1674530281
289,lompoc,34.6391,-120.4579,283.11,76,0,3.13,US,1674530282
290,shyryayeve,47.3805,30.1964,274.11,79,100,3.81,UA,1674530283
291,banda aceh,5.5577,95.3222,298.18,86,100,4.74,ID,1674530284
292,san carlos,9.6612,-68.5827,297.88,64,99,1.19,VE,1674530285
293,gamba,-2.65,10.0,298.57,84,100,0.85,GA,1674530285
294,acapulco,16.8634,-99.8901,299.05,73,0,2.57,MX,1674530286
295,aykhal,66.0,111.5,245.11,82,100,2.18,RU,1674530288
296,cap malheureux,-19.9842,57.6142,296.74,82,100,0.78,MU,1674530288
297,tezu,27.9167,96.1667,294.44,25,96,0.81,IN,1674530290
298,kedrovyy,56.1667,91.8167,260.38,92,100,3.97,RU,1674530290
299,bertoua,4.5833,13.6833,293.25,32,79,1.39,CM,1674530291
300,shahr-e babak,30.1165,55.1186,271.84,52,23,1.0,IR,1674530292
301,olafsvik,64.8945,-23.7142,274.08,98,100,9.26,IS,1674530292
302,kpandu,6.9954,0.2931,298.66,78,60,1.93,GH,1674530293
303,meulaboh,4.1363,96.1285,297.81,89,94,2.77,ID,1674530294
304,singaraja,-8.112,115.0882,302.58,70,88,1.12,ID,1674530295
305,westport,41.1415,-73.3579,275.68,75,100,5.14,US,1674530220
306,canon city,38.441,-105.2424,271.14,80,0,0.45,US,1674530296
307,hambantota,6.1241,81.1185,299.39,77,100,6.79,LK,1674530297
308,andros town,24.7,-77.7667,294.13,77,26,4.24,BS,1674530298
309,shihezi,44.3,86.0333,249.46,90,6,1.3,CN,1674530298
310,varhaug,58.6147,5.6457,279.2,95,100,4.38,NO,1674530299
311,luganville,-15.5333,167.1667,302.77,71,98,3.65,VU,1674530300
312,morondava,-20.2833,44.2833,298.46,92,100,6.96,MG,1674530300
313,ternate,0.8,127.4,301.46,73,88,1.79,ID,1674530301
314,souillac,-20.5167,57.5167,296.36,94,75,1.54,MU,1674530302
